0      0      0      1904,633
5      0      0      1838,023
10      0      0      1823,873
15      0      0      1819,177
20      0      0      1818,51
25      0      0      1817,492
30      0      0      1810,43
35      0      0      1809,983
40      0      0      1809,534
45      0      0      1809,098
50      0      0      1808,541
55      0      0      1808,28
60      0      0      1807,457
65      0      0      1806,65
70      0      0      1805,863
75      0      0      1805,209
80      0      0      1804,647
85      0      0      1804,25
90      0      0      1804,14
95      0      0      1803,974
100      0      0      1803,647
0      0      0      1904,633
0      5      0      577,777
0      10      0      446,601
0      15      0      397,699
0      20      0      404,98
0      25      0      402,855
0      30      0      397,521
0      35      0      402,752
0      40      0      377,793
0      45      0      375,135
0      50      0      373,471
0      55      0      372,721
0      60      0      370,718
0      65      0      369,147
0      70      0      368,108
0      75      0      366,799
0      80      0      366,28
0      85      0      365,14
0      90      0      364,949
0      95      0      364,927
0      100      0      364,824
0      0      0      1904,633
0      0      5      1904,633
0      0      10      1904,633
0      0      15      1904,633
0      0      20      1904,633
0      0      25      1904,633
0      0      30      1904,633
0      0      35      1904,633
0      0      40      1904,633
0      0      45      1904,633
0      0      50      1904,633
0      0      55      1904,633
0      0      60      1904,633
0      0      65      1904,633
0      0      70      1904,633
0      0      75      1904,633
0      0      80      1904,633
0      0      85      1904,633
0      0      90      1904,633
0      0      95      1904,633
0      0      100      1904,633
10      0      0      1823,873
10      5      0      117,553
10      10      0      52,637
10      15      0      44,371
10      20      0      39,519
10      25      0      37,827
10      30      0      36,416
10      35      0      36,094
10      40      0      29,366
10      45      0      26,202
10      50      0      26,122
10      55      0      26,102
10      60      0      24,664
10      65      0      24,47
10      70      0      24,369
10      75      0      24,301
10      80      0      24,208
10      85      0      24,148
10      90      0      24,142
10      95      0      24,139
10      100      0      24,119
10      0      0      1823,873
10      0      5      1525,39
10      0      10      1285,767
10      0      15      1207,158
10      0      20      1177,118
10      0      25      1141,552
10      0      30      1135,685
10      0      35      1131,308
10      0      40      1126,676
10      0      45      1116,013
10      0      50      1110,247
10      0      55      1105,847
10      0      60      1102,883
10      0      65      1102,883
10      0      70      1102,883
10      0      75      1102,883
10      0      80      1102,883
10      0      85      1102,883
10      0      90      1102,883
10      0      95      1102,883
10      0      100      1088,12
50      0      0      1808,541
50      5      0      81,569
50      10      0      28,196
50      15      0      20,121
50      20      0      14,974
50      25      0      10,339
50      30      0      8,581
50      35      0      8,282
50      40      0      7,588
50      45      0      4,4
50      50      0      4,324
50      55      0      4,302
50      60      0      2,871
50      65      0      2,699
50      70      0      2,615
50      75      0      2,553
50      80      0      2,477
50      85      0      2,426
50      90      0      2,42
50      95      0      2,417
50      100      0      2,4
50      0      0      1808,541
50      0      5      1498,07
50      0      10      1249,108
50      0      15      1168,565
50      0      20      1138,915
50      0      25      1102,504
50      0      30      1096,403
50      0      35      1092,072
50      0      40      1087,817
50      0      45      1076,7
50      0      50      1070,638
50      0      55      1066,043
50      0      60      1062,962
50      0      65      1062,962
50      0      70      1062,962
50      0      75      1062,962
50      0      80      1062,962
50      0      85      1062,962
50      0      90      1062,962
50      0      95      1062,962
50      0      100      1047,03
100      0      0      1803,647
100      5      0      81,418
100      10      0      28,116
100      15      0      20,042
100      20      0      14,909
100      25      0      10,278
100      30      0      8,526
100      35      0      8,227
100      40      0      7,551
100      45      0      4,362
100      50      0      4,287
100      55      0      4,265
100      60      0      2,838
100      65      0      2,666
100      70      0      2,582
100      75      0      2,52
100      80      0      2,444
100      85      0      2,393
100      90      0      2,387
100      95      0      2,384
100      100      0      2,367
100      0      0      1803,647
100      0      5      1493,281
100      0      10      1244,323
100      0      15      1163,781
100      0      20      1134,131
100      0      25      1097,72
100      0      30      1091,619
100      0      35      1087,288
100      0      40      1083,033
100      0      45      1071,916
100      0      50      1065,854
100      0      55      1061,259
100      0      60      1058,178
100      0      65      1058,178
100      0      70      1058,178
100      0      75      1058,178
100      0      80      1058,178
100      0      85      1058,178
100      0      90      1058,178
100      0      95      1058,178
100      0      100      1042,247
0      0      0      1904,633
0      0      5      1904,633
0      0      10      1904,633
0      0      15      1904,633
0      0      20      1904,633
0      0      25      1904,633
0      0      30      1904,633
0      0      35      1904,633
0      0      40      1904,633
0      0      45      1904,633
0      0      50      1904,633
0      0      55      1904,633
0      0      60      1904,633
0      0      65      1904,633
0      0      70      1904,633
0      0      75      1904,633
0      0      80      1904,633
0      0      85      1904,633
0      0      90      1904,633
0      0      95      1904,633
0      0      100      1904,633
50      0      0      1808,541
50      0      5      1498,07
50      0      10      1249,108
50      0      15      1168,565
50      0      20      1138,915
50      0      25      1102,504
50      0      30      1096,403
50      0      35      1092,072
50      0      40      1087,817
50      0      45      1076,7
50      0      50      1070,638
50      0      55      1066,043
50      0      60      1062,962
50      0      65      1062,962
50      0      70      1062,962
50      0      75      1062,962
50      0      80      1062,962
50      0      85      1062,962
50      0      90      1062,962
50      0      95      1062,962
50      0      100      1047,03
50      50      0      4,324
50      50      5      1,663
50      50      10      1,532
50      50      15      1,524
50      50      20      1,522
50      50      25      1,521
50      50      30      1,52
50      50      35      1,52
50      50      40      1,52
50      50      45      1,52
50      50      50      1,52
50      50      55      1,52
50      50      60      1,52
50      50      65      1,52
50      50      70      1,52
50      50      75      1,52
50      50      80      1,52
50      50      85      1,52
50      50      90      1,52
50      50      95      1,52
50      50      100      1,467
50      100      0      2,4
50      100      5      0,199
50      100      10      0,091
50      100      15      0,085
50      100      20      0,083
50      100      25      0,082
50      100      30      0,081
50      100      35      0,081
50      100      40      0,081
50      100      45      0,081
50      100      50      0,081
50      100      55      0,081
50      100      60      0,081
50      100      65      0,081
50      100      70      0,081
50      100      75      0,081
50      100      80      0,081
50      100      85      0,081
50      100      90      0,081
50      100      95      0,081
50      100      100      0,032
100      0      0      1803,647
100      0      5      1493,281
100      0      10      1244,323
100      0      15      1163,781
100      0      20      1134,131
100      0      25      1097,72
100      0      30      1091,619
100      0      35      1087,288
100      0      40      1083,033
100      0      45      1071,916
100      0      50      1065,854
100      0      55      1061,259
100      0      60      1058,178
100      0      65      1058,178
100      0      70      1058,178
100      0      75      1058,178
100      0      80      1058,178
100      0      85      1058,178
100      0      90      1058,178
100      0      95      1058,178
100      0      100      1042,247
100      50      0      4,287
100      50      5      1,626
100      50      10      1,495
100      50      15      1,487
100      50      20      1,485
100      50      25      1,484
100      50      30      1,483
100      50      35      1,483
100      50      40      1,483
100      50      45      1,483
100      50      50      1,483
