0    0    0    1904,633
5    0    0    1904,553
10    0    0    1902,64
15    0    0    1903,264
20    0    0    1902,378
25    0    0    1898,776
30    0    0    1893,445
35    0    0    1894,182
40    0    0    1887,522
45    0    0    1879,251
50    0    0    1878,641
55    0    0    1869,975
60    0    0    1865,645
65    0    0    1852,713
70    0    0    1844,772
75    0    0    1845,732
80    0    0    1845,09
85    0    0    1826,966
90    0    0    1821,36
95    0    0    1813,702
100    0    0    1803,647
0    0    0    1904,633
0    5    0    1866,818
0    10    0    1784,563
0    15    0    1738,05
0    20    0    1650,513
0    25    0    1544,254
0    30    0    1408,413
0    35    0    1213,406
0    40    0    1128,542
0    45    0    1068,508
0    50    0    927,546
0    55    0    842,528
0    60    0    781,819
0    65    0    635,42
0    70    0    638,761
0    75    0    584,537
0    80    0    451,125
0    85    0    489,132
0    90    0    424,986
0    95    0    374,172
0    100    0    364,824
0    0    0    1904,633
0    0    5    1904,633
0    0    10    1904,633
0    0    15    1904,633
0    0    20    1904,633
0    0    25    1904,633
0    0    30    1904,633
0    0    35    1904,633
0    0    40    1904,633
0    0    45    1904,633
0    0    50    1904,633
0    0    55    1904,633
0    0    60    1904,633
0    0    65    1904,633
0    0    70    1904,633
0    0    75    1904,633
0    0    80    1904,633
0    0    85    1904,633
0    0    90    1904,633
0    0    95    1904,633
0    0    100    1904,633
10    0    0    1903,898
10    5    0    1871,45
10    10    0    1774,621
10    15    0    1607,538
10    20    0    1594,566
10    25    0    1367,143
10    30    0    1288,485
10    35    0    1211,94
10    40    0    1120,925
10    45    0    947,014
10    50    0    884,535
10    55    0    894,198
10    60    0    635,261
10    65    0    649,947
10    70    0    517,3
10    75    0    533,77
10    80    0    497,188
10    85    0    397,37
10    90    0    372,44
10    95    0    323,341
10    100    0    320,646
10    0    0    1902,977
10    0    5    1899,662
10    0    10    1899,376
10    0    15    1888,65
10    0    20    1875,053
10    0    25    1884,042
10    0    30    1867,73
10    0    35    1876,145
10    0    40    1878,362
10    0    45    1866,194
10    0    50    1871,463
10    0    55    1856,532
10    0    60    1847,622
10    0    65    1856,751
10    0    70    1842,659
10    0    75    1824,084
10    0    80    1818,07
10    0    85    1830,787
10    0    90    1822,917
10    0    95    1804,514
10    0    100    1819,135
50    0    0    1875,964
50    5    0    1709,278
50    10    0    1655,974
50    15    0    1496,164
50    20    0    1312,455
50    25    0    1313,108
50    30    0    1068,959
50    35    0    964,207
50    40    0    881,331
50    45    0    778,339
50    50    0    685,576
50    55    0    609,872
50    60    0    566,637
50    65    0    457,728
50    70    0    406,692
50    75    0    362,647
50    80    0    302,394
50    85    0    235,469
50    90    0    243,178
50    95    0    270,428
50    100    0    166,362
50    0    0    1879,744
50    0    5    1859,465
50    0    10    1838,547
50    0    15    1810,18
50    0    20    1790,794
50    0    25    1765,712
50    0    30    1744,97
50    0    35    1737,832
50    0    40    1716,084
50    0    45    1700,017
50    0    50    1663,607
50    0    55    1636,15
50    0    60    1628,394
50    0    65    1594,254
50    0    70    1573,817
50    0    75    1567,744
50    0    80    1542,086
50    0    85    1531,201
50    0    90    1469,557
50    0    95    1459,904
50    0    100    1497,809
100    0    0    1803,647
100    5    0    1610,048
100    10    0    1389,878
100    15    0    1251,098
100    20    0    1117,684
100    25    0    1022,554
100    30    0    828,568
100    35    0    637,989
100    40    0    620,696
100    45    0    565,415
100    50    0    394,88
100    55    0    402,154
100    60    0    327,835
100    65    0    276,592
100    70    0    168,657
100    75    0    95,425
100    80    0    127,39
100    85    0    130,915
100    90    0    54,571
100    95    0    15,719
100    100    0    2,367
100    0    0    1803,647
100    0    5    1765,524
100    0    10    1727,545
100    0    15    1689,762
100    0    20    1651,952
100    0    25    1612,993
100    0    30    1575,703
100    0    35    1536,485
100    0    40    1499,12
100    0    45    1460,788
100    0    50    1422,666
100    0    55    1384,404
100    0    60    1347,217
100    0    65    1309,102
100    0    70    1270,833
100    0    75    1233,024
100    0    80    1194,694
100    0    85    1156,613
100    0    90    1118,665
100    0    95    1080,255
100    0    100    1042,247
0    0    0    1904,633
0    0    5    1904,633
0    0    10    1904,633
0    0    15    1904,633
0    0    20    1904,633
0    0    25    1904,633
0    0    30    1904,633
0    0    35    1904,633
0    0    40    1904,633
0    0    45    1904,633
0    0    50    1904,633
0    0    55    1904,633
0    0    60    1904,633
0    0    65    1904,633
0    0    70    1904,633
0    0    75    1904,633
0    0    80    1904,633
0    0    85    1904,633
0    0    90    1904,633
0    0    95    1904,633
0    0    100    1904,633
